                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1551,                0.57655,                 1.0993,                0.88413,                0.84235,                0.89308,                0.51574,                 1.4292,                0.63004,                 1.3791,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1249,                0.55587,                 1.0803,                0.89311,                 0.8239,                0.87088,                0.52683,                 1.3779,                0.61273,                 1.3535,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1491,                0.55879,                  1.087,                 0.8993,                0.82898,                0.89109,                0.51722,                 1.4554,                0.65127,                 1.3843,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1249,                0.54871,                 1.0832,                0.88157,                0.82597,                 0.8796,                0.52661,                 1.4004,                 0.5999,                   1.34,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1053,                0.53485,                 1.0718,                0.91322,                0.81663,                0.88336,                0.53729,                 1.3773,                0.60664,                 1.3367,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1107,                0.53839,                 1.0723,                0.89512,                0.81967,                0.87866,                0.51775,                 1.4187,                0.62918,                  1.348,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0988,                 0.5138,                 1.0839,                0.86551,                0.83363,                0.87436,                0.51565,                 1.3974,                0.62239,                 1.3475,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0783,                0.49704,                 1.0814,                0.90702,                0.81879,                0.88744,                0.52249,                 1.4175,                0.63613,                 1.3506,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0549,                0.48212,                 1.0729,                0.90015,                0.83366,                0.88428,                0.53785,                 1.3537,                 0.6001,                 1.3504,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.0523,                0.47024,                 1.0701,                0.89372,                0.82667,                0.88854,                0.53912,                 1.3705,                0.59724,                 1.3601,             0.00028072,             0.00028072,             0.00028072
                     45,                  1.038,                0.47673,                  1.065,                0.89188,                0.83452,                0.88886,                0.54009,                  1.361,                0.58783,                 1.3487,             0.00024772,             0.00024772,             0.00024772
                     46,                  1.018,                0.45363,                 1.0457,                0.89883,                0.83521,                0.89003,                0.52676,                 1.3821,                0.59499,                 1.3616,             0.00021471,             0.00021471,             0.00021471
                     47,                0.99086,                0.44204,                 1.0452,                0.88163,                0.85534,                0.89268,                0.53127,                 1.3611,                 0.5878,                 1.3497,              0.0001817,              0.0001817,              0.0001817
                     48,                0.98707,                0.43542,                  1.039,                0.88385,                0.84373,                0.88978,                0.52987,                 1.3899,                0.58995,                 1.3602,              0.0001487,              0.0001487,              0.0001487
                     49,                0.97775,                0.43824,                 1.0359,                0.89466,                0.83996,                 0.9002,                0.53545,                 1.3701,                0.57451,                 1.3588,             0.00011569,             0.00011569,             0.00011569
                     50,                0.97787,                0.42998,                 1.0303,                0.88495,                0.84886,                0.89415,                0.54689,                 1.3511,                0.57517,                 1.3513,             8.2683e-05,             8.2683e-05,             8.2683e-05
